Kode Pesanan,Status Pesanan,Status Terverifikasi,Waktu Pesanan,Waktu Pesanan Selesai,Waktu Pesanan Terverifikasi,Kode Produk,Nama Produk,ID Model,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Kode Promo,Harga(Rp),Jumlah,Nama Affiliate,Username Affiliate,MCN Terhubung,ID Komisi Pesanan,Partner Promo,Jenis Promo,Nilai Pembelian(Rp),Jumlah Pengembalian(Rp),Tipe Pesanan,Estimasi Komisi per Produk(Rp),Estimasi Komisi Affiliate per Produk(Rp),Persentase Komisi Affiliate per Produk,Estimasi Komisi MCN per Produk(Rp),Persentase Komisi MCN per Produk,Estimasi Komisi per Pesanan(Rp),Estimasi Komisi Affiliate per Pesanan(Rp),Estimasi Komisi MCN per Pesanan(Rp),Catatan Produk,Platform,Tingkat Komisi,Pengeluaran(Rp),Status Pemotongan,Metode Pemotongan,Waktu Pemotongan
250613FCFTKMVG,Sedang Diproses,Sah,2025-06-13 22:46:52,,,28155950487,Rhodey Jas Hujan Sepatu Anti Air Shoes Cover PVC Non Slip with Zipper - JY-819A,176585318656,Olahraga & Outdoor,Aksesoris Olahraga & Aktivitas Outdoor,Jas Hujan,,37300,1,Dina Fa,dinafzyh,,79104770,,Komisi Produk Penjual,33448,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,WhatsApp,6%,0,,,
250613FCFTKMVG,Sedang Diproses,Sah,2025-06-13 22:46:52,,,29368194067,FJUN Jas Hujan Portable Raincoat Transparent Poncho with Hood,197992596474,Olahraga & Outdoor,Aksesoris Olahraga & Aktivitas Outdoor,Jas Hujan,,99400,1,Dina Fa,dinafzyh,,79104130,,Komisi Produk Penjual,89132,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,WhatsApp,6%,0,,,
250613F7JN0156,Sedang Diproses,Sah,2025-06-13 21:18:58,,,27968323672,TaffPACK Tape Lakban PTFE Heat High Temperature Insulation 10M - TF10M,257081148369,Perlengkapan Rumah,Alat Pertukangan & Renovasi Rumah,Perekat & Tape,,15600,1,xtend1234,xtend1234,,79104144,,Komisi Produk Penjual,15100,0,Pesanan Tidak Langsung,0,0,10%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,10%,0,,,
250613F73CQNRC,Sedang Diproses,Sah,2025-06-13 21:10:26,,,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,Tokko sejahtera,tokkosejahtera,,79104169,,Komisi Produk Penjual,51600,0,Pesanan Langsung,3096,3096,6%,0,0%,3096,3096,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,3437,Menunggu Pemotongan,,
250613ETP738SC,Sedang Diproses,Sah,2025-06-13 17:28:19,,,27634128136,Emergency Selimut Camping Thermal 130 x 210 cm - Aluminimum Blanket,253234139909,Olahraga & Outdoor,Alat Rekreasi Olahraga & Aktivitas Outdoor,Camping & Hiking,,4900,10,Terokalana,carto.stuff,,97448167,,Komisi Produk Penjual,48500,0,Pesanan Tidak Langsung,0,0,5%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Instagram,5%,0,,,
250613ERHX6WT4,Sedang Diproses,Sah,2025-06-13 16:50:08,,,40451588111,TaffSTUDIO Alas Putar Fotografi Rotating Display Stand Base 13.5cm,275129372340,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,84000,1,yuri,yuri352,,105143957,,Komisi Produk Penjual,75150,0,Pesanan Langsung,3757.5,3757.5,5%,0,0%,3757.5,3757.5,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,5%,4171,Menunggu Pemotongan,,
250613EMFXAKGX,Sedang Diproses,Sah,2025-06-13 15:37:26,,,26307094982,TaffSTUDIO Alas Putar Fotografi Mirror Rotating 360 Turntable 200mm with Remote,258431000016,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,130500,1,Maria Collection,maria.ols,,79104675,,Komisi Produk Penjual,117000,0,Pesanan Langsung,7020,7020,6%,0,0%,7020,7020,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,7792,Menunggu Pemotongan,,
250613EJB80TVT,Sedang Diproses,Sah,2025-06-13 14:59:01,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,yulianto,omshucreative,,79104187,,Komisi Produk Penjual,10000,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Facebook,6%,0,,,
250613EJ13S1V2,Sedang Diproses,Sah,2025-06-13 14:53:21,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,195967376232,Perlengkapan Rumah,Lampu,,,13100,5,Ifa shoop,galeri__aksesoris,FEB Digital Agency,79104187,,Komisi Produk Penjual,65000,0,Pesanan Langsung,3900,3900,6%,0,0%,3900,3900,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,4329,Menunggu Pemotongan,,
250613EFUB7T8D,Sedang Diproses,Sah,2025-06-13 14:14:20,,,28808826852,TaffSTUDIO Alas Putar Fotografi Suede Rotating 360 Turntable 20cm - QM104712,256442150936,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,134800,1,Opera Norway,opear.adx,,79104266,,Komisi Produk Penjual,120870,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
250613EE2AUFX4,Sedang Diproses,Sah,2025-06-13 13:42:27,,,28808826852,TaffSTUDIO Alas Putar Fotografi Suede Rotating 360 Turntable 20cm - QM104712,256442150936,Kamera & Drone,Aksesoris Kamera,Lighting & Perlengkapan Studio Foto,,134800,1,brebet.id,hasna.widiawati,,79104266,,Komisi Produk Penjual,115677,0,Pesanan Langsung,6940.62,6940.62,6%,0,0%,6940.62,6940.62,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeelive-Shopee,6%,7704,Menunggu Pemotongan,,
250613E71VSQ5A,Sedang Diproses,Sah,2025-06-13 11:36:56,,,27968323672,TaffPACK Tape Lakban PTFE Heat High Temperature Insulation 10M - TF10M,257081148369,Perlengkapan Rumah,Alat Pertukangan & Renovasi Rumah,Perekat & Tape,,15600,1,Opera Norway,opear.adx,,79104144,,Komisi Produk Penjual,15100,0,Pesanan Tidak Langsung,0,0,10%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,10%,0,,,
250613E12UP3QT,Sedang Diproses,Sah,2025-06-13 09:50:06,,,27634128136,Emergency Selimut Camping Thermal 130 x 210 cm - Aluminimum Blanket,253234139909,Olahraga & Outdoor,Alat Rekreasi Olahraga & Aktivitas Outdoor,Camping & Hiking,,4900,2,Mitgo,kartik14534,,97448167,,Komisi Produk Penjual,9711,0,Pesanan Tidak Langsung,0,0,5%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,5%,0,,,
250613D6WRWAQ4,Sedang Diproses,Sah,2025-06-13 02:01:58,,,29368194067,FJUN Jas Hujan Portable Raincoat Transparent Poncho with Hood,197992596475,Olahraga & Outdoor,Aksesoris Olahraga & Aktivitas Outdoor,Jas Hujan,,98000,1,scarlettmartin040,scarlettmartin040,,79104130,,Komisi Produk Penjual,87789,0,Pesanan Langsung,5267.34,5267.34,6%,0,0%,7272.3,7272.3,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,5847,Menunggu Pemotongan,,
250613D6WRWAQ4,Sedang Diproses,Sah,2025-06-13 02:01:58,,,28155950487,Rhodey Jas Hujan Sepatu Anti Air Shoes Cover PVC Non Slip with Zipper - JY-819A,176585318656,Olahraga & Outdoor,Aksesoris Olahraga & Aktivitas Outdoor,Jas Hujan,,37300,1,scarlettmartin040,scarlettmartin040,,79104770,,Komisi Produk Penjual,33416,0,Pesanan Langsung,2004.96,2004.96,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,6%,2226,Menunggu Pemotongan,,
